Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,CT4000T705SSD3,Crucial,T705 M.2 4TB,1,761,36,https://ssd.userbenchmark.com/Crucial-T705-M2-4TB/Rating/4168
SSD,CT4000T705SSD5,Crucial,T705 M.2 4TB,1,761,36,https://ssd.userbenchmark.com/Crucial-T705-M2-4TB/Rating/4168
SSD,CT4000T700SSD3,Crucial,T700 M.2 4TB,2,735,744,https://ssd.userbenchmark.com/Crucial-T700-M2-4TB/Rating/4165
SSD,CT4000T700SSD5,Crucial,T700 M.2 4TB,2,735,744,https://ssd.userbenchmark.com/Crucial-T700-M2-4TB/Rating/4165
SSD,CT2000T705SSD3,Crucial,T705 M.2 2TB,3,728,87,https://ssd.userbenchmark.com/Crucial-T705-M2-2TB/Rating/4167
SSD,CT2000T705SSD5,Crucial,T705 M.2 2TB,3,728,87,https://ssd.userbenchmark.com/Crucial-T705-M2-2TB/Rating/4167
SSD,CT2000T700SSD3,Crucial,T700 M.2 2TB,4,701,1870,https://ssd.userbenchmark.com/Crucial-T700-M2-2TB/Rating/4164
SSD,CT2000T700SSD5,Crucial,T700 M.2 2TB,4,701,1870,https://ssd.userbenchmark.com/Crucial-T700-M2-2TB/Rating/4164
SSD,CT1000T705SSD3,Crucial,T705 M.2 1TB,5,568,75,https://ssd.userbenchmark.com/Crucial-T705-M2-1TB/Rating/4166
SSD,CT1000T705SSD5,Crucial,T705 M.2 1TB,5,568,75,https://ssd.userbenchmark.com/Crucial-T705-M2-1TB/Rating/4166
SSD,CT1000T700SSD3,Crucial,T700 M.2 1TB,6,537,1900,https://ssd.userbenchmark.com/Crucial-T700-M2-1TB/Rating/4163
SSD,CT1000T700SSD5,Crucial,T700 M.2 1TB,6,537,1900,https://ssd.userbenchmark.com/Crucial-T700-M2-1TB/Rating/4163
SSD,WDS400T2X0E,WD,Black SN850X M.2 4TB,7,522,8772,https://ssd.userbenchmark.com/WD-Black-SN850X-M2-4TB/Rating/4159
SSD,WDS200T2X0E,WD,Black SN850X M.2 2TB,8,492,37629,https://ssd.userbenchmark.com/WD-Black-SN850X-M2-2TB/Rating/4158
SSD,MZ-V9P4T0BW,Samsung,990 Pro M.2 4TB,9,488,4063,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-4TB/Rating/4162
SSD,MZ-V9P4T0B/AM,Samsung,990 Pro M.2 4TB,9,488,4063,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-4TB/Rating/4162
SSD,WDS200T1X0E,WD,Black SN850 NVMe PCIe M.2 2TB,10,464,1131,https://ssd.userbenchmark.com/SpeedTest/1363185/WD-BLACK-SN850-2TB
SSD,MZ-V9P2T0BW,Samsung,990 Pro M.2 2TB,11,449,61354,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-2TB/Rating/4161
SSD,MZ-V9P2T0B/AM,Samsung,990 Pro M.2 2TB,11,449,61354,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-2TB/Rating/4161
SSD,WDS100T2X0E,WD,Black SN850X M.2 1TB,12,443,37972,https://ssd.userbenchmark.com/WD-Black-SN850X-M2-1TB/Rating/4157
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,13,440,3427,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,13,440,3427,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,CT2000P5PSSD8,Crucial,P5 Plus NVMe PCIe M.2 2TB,14,438,14975,https://ssd.userbenchmark.com/SpeedTest/1638983/CT2000P5PSSD8
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,15,429,566,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,16,429,1995,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,16,429,1995,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,MZ-V8P2T0B,Samsung,980 Pro NVMe PCIe M.2 2TB,17,402,182136,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB
SSD,MZ-V9P1T0BW,Samsung,990 Pro M.2 1TB,18,402,34940,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-1TB/Rating/4160
SSD,MZ-V9P1T0B/AM,Samsung,990 Pro M.2 1TB,18,402,34940,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-1TB/Rating/4160
SSD,WDS100T1X0E,WD,Black SN850 NVMe PCIe M.2 1TB,19,395,14499,https://ssd.userbenchmark.com/SpeedTest/1348947/WD-BLACK-SN850-1TB
SSD,CT1000P5PSSD8,Crucial,P5 Plus NVMe PCIe M.2 1TB,20,385,27673,https://ssd.userbenchmark.com/SpeedTest/1627622/CT1000P5PSSD8
SSD,MZ-V8P1T0B,Samsung,980 Pro NVMe PCIe M.2 1TB,21,385,327441,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB
SSD,WDS500G1X0E,WD ,Black SN850 NVMe PCIe M.2 500GB,22,379,771,https://ssd.userbenchmark.com/SpeedTest/1366573/WD-BLACK-SN850-500GB
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,23,360,5089,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,24,359,8291,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
