gpu,gpubench
Intel HD Graphics (Bay Trail),149
Intel HD Graphics 400 (Braswell),218
Intel HD Graphics (Cherry Trail),225
Intel HD Graphics 405 (Braswell),254.5
Intel HD Graphics (Braswell),261
Intel HD Graphics (Ivy Bridge),285.5
Intel HD Graphics 500,362.5
Intel HD Graphics (Haswell),362.5
AMD Radeon R2 (Mullins/Beema/Carrizo-L),373
Intel HD Graphics 505,408
Intel UHD Graphics 600,408
AMD Radeon R3 (Mullins/Beema),419.5
Intel HD Graphics 4200,431.5
AMD Radeon R4 (Kaveri),433.5
Intel HD Graphics 5300,439
Intel HD Graphics (Broadwell),463
Intel UHD Graphics 605,468.5
Intel HD Graphics 4000,480
AMD Radeon R4 (Beema),497
AMD Radeon R2 (Stoney Ridge),511.5
AMD Radeon R5 (Beema/Carrizo-L),539
Intel HD Graphics 4400,569
AMD Radeon R5 (Kaveri),572
AMD Radeon R4 (Stoney Ridge),583
Intel HD Graphics 610,607.5
Intel HD Graphics 510,621
Intel HD Graphics 4600,635.5
Intel HD Graphics 5500,663
Intel HD Graphics 515,691.5
Intel HD Graphics 5000,715.5
NVIDIA Quadro K610M,755.5
NVIDIA GeForce 710M,768.5
AMD Radeon R6 (Kaveri),770.5
AMD Radeon R5 (Stoney Ridge),772
Intel HD Graphics 520,803.5
Intel UHD Graphics 615,819
Qualcomm Adreno 630,821
NVIDIA GeForce GT 720M,822
AMD Radeon R7 (Kaveri),851
Intel HD Graphics 615,853
AMD FirePro M4100,857
Intel Iris Graphics 6100,874
Intel Iris Graphics 5100,878.5
NVIDIA GeForce 820M,897
AMD Radeon R6 (Carrizo),909
AMD Radeon R5 M315,920
AMD Radeon R5 M330,922
Intel HD Graphics 620,934
Intel HD Graphics 530,935
Intel HD Graphics 6000,951
Intel HD Graphics 5600,991
Intel UHD Graphics 617,997
AMD Radeon R5 (Carrizo),1001
AMD Radeon R5 M430,1004
AMD Radeon R7 (Bristol Ridge),1013
NVIDIA GeForce 910M,1022
NVIDIA GeForce GT 735M,1023.5
NVIDIA Quadro K2000M,1046
NVIDIA GeForce GT 730M,1061
Intel HD Graphics 630,1067
AMD Radeon R5 M255,1080.5
AMD Radeon R6 M255DX,1114.5
AMD Radeon R7 (Carrizo),1137
Intel UHD Graphics 620,1143.5
AMD Radeon R7 M360,1146
NVIDIA GeForce 825M,1150
NVIDIA GeForce GT 740M,1150.5
NVIDIA GeForce 920M,1161.5
AMD Radeon R7 M460,1177
Intel UHD Graphics 630,1194.5
AMD Radeon R7 M440,1197.5
AMD Radeon R7 M340,1208.5
NVIDIA GeForce GT 640M,1225
AMD Radeon RX Vega 3,1259
AMD Radeon R5 (Bristol Ridge),1283.5
AMD Radeon 520,1319
AMD Radeon R7 M265,1336
NVIDIA Quadro K1100M,1340.5
Intel Iris Pro Graphics 5200,1380.5
NVIDIA GeForce 830M,1386.5
Intel Iris Plus Graphics 640,1393.5
NVIDIA GeForce 920MX,1448
Intel Iris Graphics 540,1448
AMD Radeon 530,1453.5
NVIDIA GeForce 930M,1460.5
NVIDIA GeForce GT 745M,1531
NVIDIA GeForce 840M,1573
NVIDIA GeForce GT 750M,1574
AMD Radeon R7 M445,1579
Intel Iris Graphics 550,1579
NVIDIA Quadro M500M,1594.5
NVIDIA GeForce 930MX,1597
NVIDIA Quadro K2100M,1606
NVIDIA GeForce 940M,1622
